code,name,rank
BKA,Đại học Bách khoa Hà Nội,1
DCN,Đại học Công nghiệp Hà Nội,3
DDC,Trường cao đẳng Công nghệ - ĐH Đà Nẵng,5
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,1
DDK,Đại học Bách khoa - ĐH Đà Nẵng,3
DDL,Đại học Điện lực,4
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,4
DDS,Đại học Sư phạm - ĐH Đà Nẵng,3
DDY,Khoa Y Dược - Đại học Đà Nẵng,1
DHA,Đại học Luật - Đại học Huế,3
DHC,Khoa Giáo dục Thể chất - Đại học Huế,5
DHD,Khoa Du lịch - Đại học Huế,4
DHF,Đại học Ngoại ngữ - Đại học Huế,2
DHK,Đại học Kinh tế - Đại học Huế,4
DHL,Đại học Nông lâm - Đại học Huế,1
DHN,Đại học Nghệ thuật - Đại học Huế,2
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,5
DHS,Đại học Sư phạm - Đại học Huế,2
DHT,Đại học Khoa học - Đại học Huế,3
DHY,Đại học Y Dược - Đại học Huế,1
DLX,Đại học Lao động - Xã hội,3
DMS,Đại học tài chính - Marketing,3
DNV,Đại học Nội vụ Hà Nội,5
DQB,Đại học Quảng Bình,5
DQN,Đại học Quy Nhơn,5
DTK,Đại học Nông Lâm - Đại học Thái Nguyên,5
DTS,Đại học Sư phạm Thái Nguyên,4
GHA,Đại học Giao thông Vận tải,2
GNT,Đại học Sư phạm Nghệ thuật Trung ương,4
GTS,Đại học Giao thông Vận tải,3
HBT,Học viện Báo chí và Tuyên truyền,2
HDT,Đại học Hồng Đức,5
HQT,Học viện Ngoại giao Việt Nam,2
HTC,Học viện Tài chính,3
HVN,Học viện Nông nghiệp Việt Nam,4
KHA,Đại học Kinh tế quốc dân,2
KSA,Đại học Kinh tế TP.Hồ Chí Minh,5
KTA,Đại học Kiến trúc Hà Nội,2
LNH,Đại học Lâm Nghiệp Việt Nam,5
LPH,Đại học Luật Hà Nội,1
LPS,Đại học Luật TP Hồ Chí Minh,2
MDA,Đại học Mỏ - Địa chất,5
MTU,Đại học Xây dựng miền Tây,5
NHF,Đại học Hà Nội,1
NTH,Đại học Ngoại thương,1
NTS,Đại học Ngoại thương,1
QSB,Đại học Bách Khoa - ĐHQG TP.HCM,2
QSK,Đại học Kinh tế - Luật - ĐHQG TP HCM,2
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,4
QST,Đại học Khoa học tự nhiên - ĐHQGTPHCM,3
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,3
SGD,Đại học Sài Gòn,2
SPH,Đại học Sư phạm Hà Nội,2
SPS,Đại học Sư phạm TP HCM,2
TCT,Đại học Cần Thơ,4
TDL,Đại học Đà Lạt,4
TGA,Đại học An Giang,
TLA,Đại học Thủy lợi,2
TLS,Đại học Thủy lợi,3
TMA,Đại học Thương mại,2
VHS,Trường Đại học Văn hóa TP.HCM,4
XDA,Đại học Xây dựng,1
YCT,Đại học Y dược Cần Thơ,1
YHB,Đại học Y Hà Nội,1
YTB,Đại học Y Dược Thái Bình,1
